class	vtable	base_classes	slot_count
vtable_008e0b58	0x008e0b58		88
BFGUndoMgr	0x008e0cc8		25
ZTUndoMgr	0x008e0d30		30
BFUndoMgr	0x008e0da8		24
BFXMLObj	0x008e10c4		13
BFXMLObj	0x008e10f8		13
BFXMLObj	0x008e112c		13
BFSoundMgr	0x008e12b8		21
vtable_008e1320	0x008e1320		4
vtable_008e1338	0x008e1338		13
BFXMLObj	0x008e136c		13
BF2DSnd	0x008e13ac		23
vtable_008e1450	0x008e1450		24
BFSndCrossFader	0x008e14c0		25
vtable_008e1544	0x008e1544		22
vtable_008e15b0	0x008e15b0		22
vtable_008e160c	0x008e160c		10
vtable_008e193c	0x008e193c		19
BFSoundtag	0x008e19a0		27
BFSnd	0x008e1a10		26
BFAmbient3DSndGenerator	0x008e1a90		28
BFSoundStageMgr	0x008e1b10		26
vtable_008e1c5c	0x008e1c5c		13
vtable_008e1d98	0x008e1d98		32
vtable_008e1e24	0x008e1e24		13
vtable_008e1e74	0x008e1e74		32
vtable_008e1f18	0x008e1f18		39
vtable_008e2058	0x008e2058		5
vtable_008e2074	0x008e2074		21
vtable_008e2230	0x008e2230		7
vtable_008e2250	0x008e2250		6
vtable_008e2518	0x008e2518		4
vtable_008e2534	0x008e2534		7
vtable_008e2574	0x008e2574		32
vtable_008e26d0	0x008e26d0		26
vtable_008e27c8	0x008e27c8		24
vtable_008e2914	0x008e2914		43
vtable_008e29f0	0x008e29f0		10
vtable_008e2a40	0x008e2a40		13
vtable_008e2a80	0x008e2a80		5
vtable_008e2aa0	0x008e2aa0		70
vtable_008e2bd8	0x008e2bd8		30
vtable_008e2ca4	0x008e2ca4		13
vtable_008e2ce8	0x008e2ce8		13
vtable_008e30cc	0x008e30cc		32
vtable_008e3168	0x008e3168		32
vtable_008e3210	0x008e3210		20
vtable_008e3278	0x008e3278		15
vtable_008e3334	0x008e3334		15
vtable_008e33e0	0x008e33e0		15
vtable_008e3428	0x008e3428		15
vtable_008e346c	0x008e346c		15
vtable_008e3660	0x008e3660		15
vtable_008e36ac	0x008e36ac		15
vtable_008e377c	0x008e377c		30
vtable_008e3800	0x008e3800		49
vtable_008e38c8	0x008e38c8		62
vtable_008e39f8	0x008e39f8		17
vtable_008e3ac8	0x008e3ac8		49
vtable_008e3b98	0x008e3b98		13
vtable_008e3bf0	0x008e3bf0		34
vtable_008e3c90	0x008e3c90		13
vtable_008e3cc8	0x008e3cc8		30
vtable_008e3d4c	0x008e3d4c		13
vtable_008e3d90	0x008e3d90		13
vtable_008e3dd0	0x008e3dd0		13
vtable_008e3e14	0x008e3e14		13
vtable_008e3e80	0x008e3e80		66
vtable_008e3f98	0x008e3f98		65
vtable_008e40c0	0x008e40c0		30
vtable_008e4154	0x008e4154		13
vtable_008e41c8	0x008e41c8		27
vtable_008e4238	0x008e4238		34
vtable_008e42e0	0x008e42e0		30
vtable_008e4364	0x008e4364		13
vtable_008e43a8	0x008e43a8		13
vtable_008e4410	0x008e4410		38
vtable_008e44ac	0x008e44ac		4
vtable_008e45f8	0x008e45f8		28
vtable_008e4690	0x008e4690		13
vtable_008e46f0	0x008e46f0		29
vtable_008e4798	0x008e4798		20
vtable_008e480c	0x008e480c		13
vtable_008e48ac	0x008e48ac		15
vtable_008e4928	0x008e4928		7
vtable_008e4948	0x008e4948		12
vtable_008e49e8	0x008e49e8		16
vtable_008e4a68	0x008e4a68		30
vtable_008e4d64	0x008e4d64		20
vtable_008e4e00	0x008e4e00		5
BFUndoTransactionData	0x008e4e58		15
BFApp	0x008e4ea8		58
vtable_008e4f9c	0x008e4f9c		21
vtable_008e4ff4	0x008e4ff4		4
vtable_008e5008	0x008e5008		61
vtable_008e521c	0x008e521c		28
BFDoubleEvent	0x008e5290		33
BFRefCountedXMLObjEvent	0x008e5318		33
BFXMLNodeEvent	0x008e53a0		33
BFXMLNode	0x008e5590		30
BFXMLDeclaration	0x008e5610		18
BFXMLComment	0x008e5658		18
BFXMLUnknown	0x008e56a0		14
BFUserProfileMgr	0x008e588c		21
BFTimeKeeper	0x008e59c0		21
vtable_008e5a1c	0x008e5a1c		4
BFBinder	0x008e5ac8		51
BFNamedBinder	0x008e5b98		43
BFTypedBinder	0x008e5c48		43
vtable_008e5d84	0x008e5d84		12
BFContext	0x008e5e30		10
vtable_008e5e5c	0x008e5e5c		24
BFModeDesc	0x008e6080		15
BFRegistry	0x008e60e0		23
BFResourceMgr	0x008e6250		24
BFBinderRoot	0x008e62c0		23
BFScriptContextMgr	0x008e6400		26
BFHelpComponent	0x008e6488		23
BFScriptComponentArgs	0x008e6508		33
BFComponentNameMap	0x008e65a8		30
BFTriggeredEventsComponent	0x008e6658		25
vtable_008e6780	0x008e6780		18
vtable_008e67cc	0x008e67cc		4
BFWindowsMessage	0x008e67dc		13
BFComponentStack	0x008e6850		24
vtable_008e68b4	0x008e68b4		6
vtable_008e68d0	0x008e68d0		4
vtable_008e68f4	0x008e68f4		14
vtable_008e6938	0x008e6938		4
vtable_008e6b44	0x008e6b44		6
BFPerformanceMonitor	0x008e6cf0		23
BFXMLSchemaMgr	0x008e6d78		21
vtable_008e6e1c	0x008e6e1c		28
vtable_008e6eb0	0x008e6eb0		15
BFXMLSchemaElementType	0x008e6f90		4
BFXMLSchemaType	0x008e6fa0		4
BFXMLSchemaAttributeType	0x008e6fd4		4
BFLog	0x008e6ff0		23
vtable_008e70c4	0x008e70c4		6
BFXMLSchemaRestriction	0x008e7100		4
vtable_008e71e0	0x008e71e0		12
vtable_008e72cc	0x008e72cc		16
vtable_008e7318	0x008e7318		12
vtable_008e7358	0x008e7358		12
vtable_008e73a4	0x008e73a4		10
vtable_008e73e0	0x008e73e0		9
vtable_008e7444	0x008e7444		8
vtable_008e7468	0x008e7468		10
BFAIEntityDataShared	0x008e75c0		24
vtable_008e7624	0x008e7624		14
vtable_008e766c	0x008e766c		21
vtable_008e76c4	0x008e76c4		4
vtable_008e76d8	0x008e76d8		4
vtable_008e770c	0x008e770c		17
BFAITargetData	0x008e776c		19
BFAIAttributeFloatMap	0x008e77d4		23
BFAIEntityData	0x008e7830		24
vtable_008e7894	0x008e7894		4
vtable_008e78b8	0x008e78b8		5
vtable_008e78dc	0x008e78dc		21
BFAIBiomeMap	0x008e7930		24
vtable_008e7998	0x008e7998		18
vtable_008e79ec	0x008e79ec		21
BFAIFadeController	0x008e7ae0		32
BFBehSetMap	0x008e7c1c		22
BFAICognitiveMgr	0x008e7d40		70
BFXMLObj	0x008e7e58		20
BFAIRelationshipMgr	0x008e7ee0		23
BFAIRelationData	0x008e7f3c		17
BFXMLObj	0x008e8000		13
BFAIDataThresholdController	0x008e8038		32
BFAIToken	0x008e8130		23
BFAITokenList	0x008e8190		24
vtable_008e81f4	0x008e81f4		9
BFXMLObj	0x008e856c		13
BFXMLObj	0x008e85a0		13
BFXMLObj	0x008e85d4		13
BFAIEntityComponent	0x008e8658		42
BFAIMgr	0x008e8760		28
vtable_008e87d4	0x008e87d4		4
vtable_008e87e8	0x008e87e8		50
BFXMLObj	0x008e89a0		13
vtable_008e89e4	0x008e89e4		18
vtable_008e8a38	0x008e8a38		10
BFAICreateData	0x008e8a60		13
vtable_008e8aa4	0x008e8aa4		21
vtable_008e8afc	0x008e8afc		11
vtable_008e8c44	0x008e8c44		21
BFAICompletionData	0x008e8ca8		22
BFAIFailureData	0x008e8d00		28
BFBehDockTAP	0x008e8e30		40
BFAITaskRoot	0x008e8f48		23
BFBehAnimateTAP	0x008e8fc0		43
BFBehavior	0x008e90ac		37
BFBehaviorMgr	0x008e9150		42
BFAIEntityMgr	0x008e9238		29
BFAIComponent	0x008e92c0		26
BFAIDataController	0x008e9348		35
BFAITaskThinker	0x008e93f8		65
vtable_008e952c	0x008e952c		49
vtable_008e973c	0x008e973c		38
vtable_008e97d8	0x008e97d8		8
BFAIStateVar	0x008e9808		25
BFAICogShared	0x008e9890		23
BFAIComponentList	0x008e9900		24
vtable_008e9964	0x008e9964		10
vtable_008e99b0	0x008e99b0		39
vtable_008e9a50	0x008e9a50		9
vtable_008e9a94	0x008e9a94		49
BFAITargetPos	0x008e9b8c		14
BFAITextureController	0x008e9c80		32
BFLocomotionMgr	0x008e9d80		50
BFSteeringMgr	0x008e9ec0		25
BFBehAttachObject	0x008e9ff0		41
BFAIUnhideComponent	0x008ea098		27
BFBehExecTask	0x008ea108		40
BFBehInterpolate	0x008ea290		42
BFBehAnimate	0x008ea418		41
BFBehPlaySet	0x008ea500		43
BFBehRandomSet	0x008ea5f0		41
BFBehSyncSet	0x008ea770		40
BFBehHide	0x008ea840		40
BFBehFade	0x008ea8f0		40
BFBehMove	0x008ea9dc		20
vtable_008eaa30	0x008eaa30		18
vtable_008eaaa0	0x008eaaa0		38
vtable_008eab54	0x008eab54		37
vtable_008eac08	0x008eac08		38
vtable_008eacd0	0x008eacd0		21
vtable_008ead28	0x008ead28		16
BFBehSpawn	0x008eade0		43
BFBehGotoPos	0x008eaeb0		45
BFBehAnimSwitchSet	0x008eaf8c		19
vtable_008eafe8	0x008eafe8		18
vtable_008eb088	0x008eb088		23
vtable_008eb0e8	0x008eb0e8		14
vtable_008eb154	0x008eb154		18
vtable_008eb1a0	0x008eb1a0		18
BFBehFollowEntity	0x008eb240		40
BFBehHeadLook	0x008eb310		40
BFBehDirectPursuit	0x008eb3c8		40
BFBehWaitQueue	0x008eb4a8		40
BFBehEvasion	0x008eb5d8		45
BFBehDockQueue	0x008eb6b8		40
BFBehSendTrigger	0x008eb780		40
BFBehAnimateRandom	0x008eb840		41
BFBehScript	0x008eb938		38
BFBehScriptParams	0x008eb9d0		17
BFBehAnimateSwitch	0x008eba40		40
BFBehWhap	0x008ebb10		42
BFBehDock	0x008ebc20		42
BFBehFollowLine	0x008ebce8		40
BFBehEnter	0x008ebdb8		45
BFBehFollowSpline	0x008ebf60		51
vtable_008ec040	0x008ec040		4
vtable_008ec054	0x008ec054		8
vtable_008ec078	0x008ec078		4
BFBehExit	0x008ec0ac		39
BFBehFall	0x008ec1d0		2
vtable_008ec1dc	0x008ec1dc		17
vtable_008ec224	0x008ec224		21
BFBehDockNow	0x008ec2c4		39
vtable_008ec388	0x008ec388		38
vtable_008ec45c	0x008ec45c		20
vtable_008ec4b0	0x008ec4b0		17
BFBehDockSpline	0x008ec548		43
BFBehFacePos	0x008ec62c		19
vtable_008ec680	0x008ec680		18
BFBehWander	0x008ec710		40
BFBehRoute	0x008ec81c		38
vtable_008ec8c0	0x008ec8c0		43
BFBehEscapeObstacle	0x008ec9a0		40
BFBehKill	0x008ecaa8		43
BFAIMultiDataController	0x008ecb78		30
BFLocoAnimate	0x008ecd40		35
BFLocomotion	0x008ecdf8		33
BFSteerSeek	0x008ecf08		29
BFSteerPursuit	0x008ecf90		29
BFSteerEvasion	0x008ed018		29
BFSteerAvoidObstacle	0x008ed0c8		29
BFSteerAvoidVehicle	0x008ed150		29
BFSteerWander	0x008ed1e8		29
BFSteerVector	0x008ed288		29
BFSteerAvoidEntity	0x008ed328		29
BFSteerDepth	0x008ed3b0		29
BFSteerAvoidObstacleAhead	0x008ed440		29
BFSteerAlign	0x008ed4c8		29
BFSteer	0x008ed548		27
UIToggleButton	0x008ed5d8		14
vtable_008ed614	0x008ed614		14
vtable_008ed650	0x008ed650		6
vtable_008ed670	0x008ed670		15
vtable_008ed6bc	0x008ed6bc		7
vtable_008ed6f8	0x008ed6f8		6
vtable_008ed718	0x008ed718		18
vtable_008ed768	0x008ed768		44
vtable_008ed82c	0x008ed82c		5
vtable_008ed850	0x008ed850		27
UIComponent	0x008ed988		26
vtable_008eda00	0x008eda00		6
vtable_008eda20	0x008eda20		14
vtable_008eda6c	0x008eda6c		7
vtable_008edaa8	0x008edaa8		6
vtable_008edac8	0x008edac8		18
vtable_008edb18	0x008edb18		7
UIEventList	0x008edb34		4
vtable_008edb48	0x008edb48		8
UIRectObj	0x008edb68		15
UIFontData	0x008ee850		3
vtable_008ee860	0x008ee860		8
UIColorObj	0x008ee880		13
UIKeyData	0x008ee8b4		5
vtable_008ee8cc	0x008ee8cc		7
UIChildData	0x008ee8e8		4
vtable_008ee8fc	0x008ee8fc		8
UINotifyData	0x008ee91c		13
BFXMLObj	0x008ee950		31
UIContainer	0x008eea10		14
vtable_008eea4c	0x008eea4c		11
vtable_008eea88	0x008eea88		6
vtable_008eeaa8	0x008eeaa8		14
vtable_008eeaf4	0x008eeaf4		7
vtable_008eeb30	0x008eeb30		6
vtable_008eeb50	0x008eeb50		18
vtable_008eeba0	0x008eeba0		42
UIAspect	0x008eec9c		2
UIToggleSet	0x008eecb0		14
vtable_008eecec	0x008eecec		11
vtable_008eed1c	0x008eed1c		9
vtable_008eed48	0x008eed48		14
vtable_008eed94	0x008eed94		7
vtable_008eedd0	0x008eedd0		6
vtable_008eedf0	0x008eedf0		18
vtable_008eee40	0x008eee40		54
UIButton	0x008eef28		14
vtable_008eef64	0x008eef64		11
vtable_008eefa0	0x008eefa0		4
vtable_008eefc0	0x008eefc0		15
vtable_008ef00c	0x008ef00c		7
vtable_008ef048	0x008ef048		6
vtable_008ef068	0x008ef068		18
vtable_008ef0b8	0x008ef0b8		44
vtable_008ef17c	0x008ef17c		5
vtable_008ef1a0	0x008ef1a0		21
UIApp	0x008ef230		68
UIRoot	0x008ef3a0		28
vtable_008ef414	0x008ef414		7
vtable_008ef438	0x008ef438		14
vtable_008ef484	0x008ef484		7
vtable_008ef4c0	0x008ef4c0		6
vtable_008ef4e0	0x008ef4e0		18
vtable_008ef530	0x008ef530		51
UIListBox	0x008ef6a0		14
vtable_008ef6dc	0x008ef6dc		11
vtable_008ef70c	0x008ef70c		9
vtable_008ef738	0x008ef738		14
vtable_008ef784	0x008ef784		7
vtable_008ef7c0	0x008ef7c0		6
vtable_008ef7e0	0x008ef7e0		18
vtable_008ef830	0x008ef830		48
UISlider	0x008ef960		14
vtable_008ef99c	0x008ef99c		11
vtable_008ef9d8	0x008ef9d8		6
vtable_008ef9f8	0x008ef9f8		14
vtable_008efa44	0x008efa44		7
vtable_008efa80	0x008efa80		6
vtable_008efaa0	0x008efaa0		18
vtable_008efaf0	0x008efaf0		40
UIStatic	0x008efbc0		36
vtable_008efc58	0x008efc58		14
vtable_008efca4	0x008efca4		7
vtable_008efce0	0x008efce0		6
vtable_008efd00	0x008efd00		18
vtable_008efd50	0x008efd50		9
UIHelpInfo	0x008efd9c		3
UIRegion	0x008efde4		13
vtable_008efe38	0x008efe38		12
vtable_008efe6c	0x008efe6c		11
vtable_008efea8	0x008efea8		4
vtable_008efec8	0x008efec8		14
vtable_008eff14	0x008eff14		7
vtable_008eff50	0x008eff50		6
vtable_008eff70	0x008eff70		18
vtable_008effc0	0x008effc0		42
UIText	0x008f0080		14
vtable_008f00bc	0x008f00bc		11
vtable_008f00f8	0x008f00f8		4
vtable_008f0118	0x008f0118		15
vtable_008f0164	0x008f0164		7
vtable_008f01a0	0x008f01a0		6
vtable_008f01c0	0x008f01c0		18
vtable_008f0210	0x008f0210		44
vtable_008f02d4	0x008f02d4		5
vtable_008f0354	0x008f0354		11
vtable_008f0384	0x008f0384		11
vtable_008f03b4	0x008f03b4		9
vtable_008f03e0	0x008f03e0		14
vtable_008f042c	0x008f042c		7
vtable_008f0468	0x008f0468		6
vtable_008f0488	0x008f0488		18
vtable_008f04d8	0x008f04d8		20
vtable_008f0530	0x008f0530		24
UIToggleHoverButton	0x008f05b8		14
vtable_008f05f4	0x008f05f4		11
vtable_008f0630	0x008f0630		6
vtable_008f0650	0x008f0650		15
vtable_008f069c	0x008f069c		7
vtable_008f06d8	0x008f06d8		6
vtable_008f06f8	0x008f06f8		18
vtable_008f0748	0x008f0748		44
vtable_008f080c	0x008f080c		5
vtable_008f0830	0x008f0830		25
UICompositeButton	0x008f08c0		14
vtable_008f08fc	0x008f08fc		5
vtable_008f0914	0x008f0914		5
vtable_008f0938	0x008f0938		4
vtable_008f0958	0x008f0958		14
vtable_008f09a4	0x008f09a4		7
vtable_008f09e0	0x008f09e0		6
vtable_008f0a00	0x008f0a00		18
vtable_008f0a50	0x008f0a50		43
vtable_008f0b34	0x008f0b34		11
vtable_008f0b64	0x008f0b64		11
vtable_008f0ba0	0x008f0ba0		4
vtable_008f0bc0	0x008f0bc0		15
vtable_008f0c0c	0x008f0c0c		7
vtable_008f0c48	0x008f0c48		6
vtable_008f0c68	0x008f0c68		18
vtable_008f0cb8	0x008f0cb8		44
vtable_008f0d7c	0x008f0d7c		5
vtable_008f0da0	0x008f0da0		21
UITooltip	0x008f0e38		28
vtable_008f0eb0	0x008f0eb0		4
vtable_008f0ed0	0x008f0ed0		15
vtable_008f0f1c	0x008f0f1c		7
vtable_008f0f58	0x008f0f58		6
vtable_008f0f78	0x008f0f78		18
vtable_008f0fc8	0x008f0fc8		44
vtable_008f108c	0x008f108c		5
vtable_008f10b0	0x008f10b0		4
UITextEdit	0x008f1140		26
vtable_008f11b4	0x008f11b4		5
vtable_008f11d8	0x008f11d8		18
vtable_008f1224	0x008f1224		7
vtable_008f1260	0x008f1260		6
vtable_008f1280	0x008f1280		18
vtable_008f12d0	0x008f12d0		44
vtable_008f1394	0x008f1394		5
vtable_008f13b0	0x008f13b0		22
UIHoverButton	0x008f1418		14
vtable_008f1454	0x008f1454		14
vtable_008f1490	0x008f1490		4
vtable_008f14b0	0x008f14b0		15
vtable_008f14fc	0x008f14fc		7
vtable_008f1538	0x008f1538		6
vtable_008f1558	0x008f1558		18
vtable_008f15a8	0x008f15a8		44
vtable_008f166c	0x008f166c		5
vtable_008f1690	0x008f1690		21
UIGraph	0x008f17a0		14
vtable_008f17dc	0x008f17dc		11
vtable_008f1818	0x008f1818		7
vtable_008f1838	0x008f1838		14
vtable_008f1884	0x008f1884		7
vtable_008f18c0	0x008f18c0		6
vtable_008f18e0	0x008f18e0		18
vtable_008f1930	0x008f1930		47
UIAnimation	0x008f1a48		4
UIHotKeys	0x008f1a78		2
UISoundMgr	0x008f1b14		24
UIDropList	0x008f1b98		14
vtable_008f1bd4	0x008f1bd4		11
vtable_008f1c10	0x008f1c10		6
vtable_008f1c30	0x008f1c30		14
vtable_008f1c7c	0x008f1c7c		7
vtable_008f1cb8	0x008f1cb8		6
vtable_008f1cd8	0x008f1cd8		18
vtable_008f1d28	0x008f1d28		40
UITreeElement	0x008f1dec		13
vtable_008f1e24	0x008f1e24		11
vtable_008f1e54	0x008f1e54		9
vtable_008f1e80	0x008f1e80		14
vtable_008f1ecc	0x008f1ecc		7
vtable_008f1f08	0x008f1f08		6
vtable_008f1f28	0x008f1f28		18
vtable_008f1f78	0x008f1f78		20
vtable_008f1fd0	0x008f1fd0		29
vtable_008f20b8	0x008f20b8		12
vtable_008f20ec	0x008f20ec		11
vtable_008f2128	0x008f2128		4
vtable_008f2148	0x008f2148		14
vtable_008f2194	0x008f2194		7
vtable_008f21d0	0x008f21d0		6
vtable_008f21f0	0x008f21f0		18
vtable_008f2240	0x008f2240		45
vtable_008f2324	0x008f2324		11
vtable_008f2354	0x008f2354		11
vtable_008f2390	0x008f2390		4
vtable_008f23b0	0x008f23b0		15
vtable_008f23fc	0x008f23fc		7
vtable_008f2438	0x008f2438		6
vtable_008f2458	0x008f2458		18
vtable_008f24a8	0x008f24a8		44
vtable_008f256c	0x008f256c		5
vtable_008f2590	0x008f2590		21
UITextBuffer	0x008f25f8		26
vtable_008f2690	0x008f2690		18
vtable_008f26dc	0x008f26dc		7
vtable_008f2718	0x008f2718		6
vtable_008f2738	0x008f2738		18
vtable_008f2788	0x008f2788		44
vtable_008f284c	0x008f284c		4
vtable_008f2868	0x008f2868		19
UITool	0x008f2900		14
vtable_008f293c	0x008f293c		11
vtable_008f296c	0x008f296c		9
vtable_008f2998	0x008f2998		14
vtable_008f29e4	0x008f29e4		7
vtable_008f2a20	0x008f2a20		6
vtable_008f2a40	0x008f2a40		18
vtable_008f2a90	0x008f2a90		20
vtable_008f2ae8	0x008f2ae8		22
UIXMLEdit	0x008f2b64		13
vtable_008f2b9c	0x008f2b9c		11
vtable_008f2bcc	0x008f2bcc		9
vtable_008f2bf8	0x008f2bf8		14
vtable_008f2c44	0x008f2c44		7
vtable_008f2c80	0x008f2c80		6
vtable_008f2ca0	0x008f2ca0		18
vtable_008f2cf0	0x008f2cf0		48
UICompositeHoverButton	0x008f2dc8		14
vtable_008f2e04	0x008f2e04		12
vtable_008f2e40	0x008f2e40		4
vtable_008f2e60	0x008f2e60		14
vtable_008f2eac	0x008f2eac		7
vtable_008f2ee8	0x008f2ee8		6
vtable_008f2f08	0x008f2f08		18
vtable_008f2f58	0x008f2f58		43
vtable_008f3008	0x008f3008		4
vtable_008f3020	0x008f3020		8
vtable_008f32e0	0x008f32e0		92
vtable_008f3834	0x008f3834		37
vtable_008f38d8	0x008f38d8		39
vtable_008f3990	0x008f3990		53
vtable_008f3a68	0x008f3a68		34
vtable_008f3b0c	0x008f3b0c		22
vtable_008f3b78	0x008f3b78		21
vtable_008f3bd0	0x008f3bd0		4
vtable_008f3be4	0x008f3be4		25
vtable_008f3c54	0x008f3c54		4
vtable_008f3d70	0x008f3d70		53
vtable_008f4114	0x008f4114		24
vtable_008f42b0	0x008f42b0		103
vtable_008f46c8	0x008f46c8		137
vtable_008f4938	0x008f4938		10
vtable_008f4b08	0x008f4b08		9
vtable_008f4b30	0x008f4b30		8
vtable_008f4d7c	0x008f4d7c		4
vtable_008f4dcc	0x008f4dcc		8
vtable_008f4eb8	0x008f4eb8		4
vtable_008f4f6c	0x008f4f6c		4
vtable_008f4fa0	0x008f4fa0		16
vtable_008f50dc	0x008f50dc		6
vtable_008f5178	0x008f5178		139
vtable_008f53d4	0x008f53d4		34
vtable_008f5460	0x008f5460		21
vtable_008f54b8	0x008f54b8		37
vtable_008f556c	0x008f556c		16
vtable_008f55b0	0x008f55b0		10
vtable_008f5628	0x008f5628		5
vtable_008f566c	0x008f566c		12
vtable_008f56c8	0x008f56c8		5
vtable_008f56e0	0x008f56e0		34
vtable_008f576c	0x008f576c		34
vtable_008f57f8	0x008f57f8		34
vtable_008f5884	0x008f5884		10
vtable_008f58b0	0x008f58b0		18
vtable_008f5900	0x008f5900		32
vtable_008f5984	0x008f5984		10
vtable_008f59b0	0x008f59b0		17
vtable_008f5a10	0x008f5a10		19
vtable_008f5a60	0x008f5a60		13
vtable_008f5ae8	0x008f5ae8		21
vtable_008f5c18	0x008f5c18		102
vtable_008f5df4	0x008f5df4		41
BFScriptContextMgr	0x008f5e98		21
vtable_008f5ef0	0x008f5ef0		14
vtable_008f5f9c	0x008f5f9c		14
vtable_008f5fe0	0x008f5fe0		22
vtable_008f6040	0x008f6040		29
vtable_008f60cc	0x008f60cc		39
vtable_008f61bc	0x008f61bc		14
vtable_008f620c	0x008f620c		13
vtable_008f6250	0x008f6250		65
vtable_008f6368	0x008f6368		31
vtable_008f63e8	0x008f63e8		20
vtable_008f6448	0x008f6448		20
vtable_008f64b8	0x008f64b8		20
vtable_008f6518	0x008f6518		81
vtable_008f6660	0x008f6660		17
BFGBiome	0x008f6778		23
BFGPlacementTile	0x008f6888		11
vtable_008f68b8	0x008f68b8		28
BFGPlacementGrid	0x008f6928		27
BFGElevatedPlacementTile	0x008f6998		11
vtable_008f69c8	0x008f69c8		28
BFGTerrainPlacementTile	0x008f6a38		11
vtable_008f6a68	0x008f6a68		28
BFGEntity	0x008f6d28		31
vtable_008f6da8	0x008f6da8		6
vtable_008f6dc4	0x008f6dc4		13
vtable_008f6e00	0x008f6e00		5
BFXMLObj	0x008f6e14		13
BFGEntitySharedEventData	0x008f6e48		21
BFGFloatAttribute	0x008f6e9c		13
BFGBooleanAttribute	0x008f6ed0		13
BFGStringAttribute	0x008f6f04		13
BFXMLObj	0x008f6f38		13
BFMatrix3Obj	0x008f6f88		17
BFGBiomeData	0x008f7030		23
BFGEconomyComponent	0x008f71d8		51
BFGEntityMoveData	0x008f7dc0		13
BFGFakePhysicsData	0x008f7df4		13
BFGRealPhysicsKickData	0x008f7e28		13
BFGEntityMorphData	0x008f7e5c		13
BFGBiomeFeatureData	0x008f7e90		13
BFGSetTextureData	0x008f7ec4		13
BFGElevatedTileData	0x008f7ef8		31
BFGApp	0x008f7f80		47
vtable_008f8040	0x008f8040		74
BFGElevatedSupportTracker	0x008f8198		25
BFGridCollisionComponent	0x008f8240		38
BFGPlacementData	0x008f86d8		23
vtable_008f8830	0x008f8830		30
BFGTraversableArea	0x008f8cf8		23
BFGTraversabilityMgr	0x008f8d58		10
vtable_008f8d84	0x008f8d84		21
BFTraversabilityMgr	0x008f8dd8		25
BFGRampageMgr	0x008f9068		30
BFGEntityContainer	0x008f91b8		23
BFGEntityContainerSlot	0x008f9218		18
BFGEntityContainerSlotLight	0x008f9260		18
BFGEntityContainerSlotHeavy	0x008f92a8		26
BFGCollisionTester	0x008f9408		23
BFGCollisionTest	0x008f9464		17
BFGFittingSurfaceComponent	0x008f94f8		39
vtable_008f9748	0x008f9748		7
BFRealPhysicsComponent	0x008f9768		43
vtable_008f9868	0x008f9868		39
vtable_008f9910	0x008f9910		8
BFGestureSplineComponent	0x008f9930		108
BFGTransactionTracker	0x008f9b50		23
BFGCollisionMgr	0x008f9bc0		27
BFXMLNodeComp	0x008f9c40		25
BFGPhysAnimController	0x008f9d10		25
BFGTileFittingSurface	0x008f9da4		10
BFGPuzzleMgr	0x008f9de0		29
BFGEntityFittingSurface	0x008f9e6c		10
BFGDetachAction	0x008f9eec		13
BFGDetachInfo	0x008f9f20		25
BFGCollisionHandler	0x008f9fe8		27
BFGPathFinderMgr	0x008fa0d8		29
BFGCollisionData	0x008fa1e0		23
BFGInfluenceComponent	0x008fa420		23
BFGInfluenceMgr	0x008fa484		34
BFGEntityTriggerMgr	0x008fa568		25
vtable_008fa8ac	0x008fa8ac		18
vtable_008fa8f8	0x008fa8f8		5
BFGEntitySndComponent	0x008fa960		35
BFGContainerData	0x008faa10		23
BFFakePhysicsComponent	0x008faac8		40
BFGInfluenceController	0x008fab80		31
BFGElevatedTileSerializer	0x008fac38		23
BFSecondaryAnimComponent	0x008fad10		38
BFBirdGroundFitComponent	0x008fae10		43
BFPhysObj	0x008fb068		45
BFTerrain	0x008fb418		25
BFXMLObj	0x008fb47c		13
BFCameraComponent	0x008fb564		114
vtable_008fb730	0x008fb730		4
BFTerrainDecalComponent	0x008fb8f8		117
BFSafeHandledObj	0x008fbad4		2
BFXMLObj	0x008fbc78		17
vtable_008fbcc0	0x008fbcc0		34
BFTerrainBiome	0x008fc5f4		22
BFOverheadCameraComponent	0x008fc7a0		146
BFFPSCameraComponent	0x008fca38		125
BFGroundFitComponent	0x008fcda0		43
BFUserDrivenVehicleComponent	0x008fce78		48
BF3DApp	0x008fcf40		78
BFBoundedObjectComponent	0x008fd0d8		38
BFCollisionComponent	0x008fd1a0		62
BFAnimatedObjectControllerComponent	0x008fd2f0		40
BFTerrainPaintComponent	0x008fd3b0		39
BF4LegsGroundFitComponent	0x008fd584		20
vtable_008fd5d8	0x008fd5d8		21
vtable_008fd63c	0x008fd63c		4
vtable_008fd650	0x008fd650		5
BFLegFitComponent	0x008fd940		37
BF2LegsGroundFitComponent	0x008fda60		2
vtable_008fda6c	0x008fda6c		40
BFManipSensorComponent	0x008fdb78		39
BFRenderer	0x008fdd78		35
vtable_008fde2c	0x008fde2c		35
BFAnimRequestData	0x008fdfbc		14
vtable_008fe03c	0x008fe03c		110
vtable_008fe218	0x008fe218		10
BFSkewComponent	0x008fe288		39
BFAboveGroundFitComponent	0x008fe350		46
BFPhysComponent	0x008fe428		38
BFFPSUDVComponent	0x008fe508		48
BFUserDrivenComponent	0x008fe610		39
vtable_008fe6b8	0x008fe6b8		10
BFSkyLayer	0x008fe758		24
