class	vtable	base_classes	slot_count
vtable_008c38a4	0x008c38a4		21
vtable_008c3900	0x008c3900		14
vtable_008c394c	0x008c394c		7
vtable_008c3988	0x008c3988		6
vtable_008c39a8	0x008c39a8		18
vtable_008c39f8	0x008c39f8		40
vtable_008c3a9c	0x008c3a9c		39
vtable_008c3b78	0x008c3b78		12
vtable_008c3bac	0x008c3bac		21
vtable_008c3c08	0x008c3c08		14
vtable_008c3c54	0x008c3c54		7
vtable_008c3c90	0x008c3c90		6
vtable_008c3cb0	0x008c3cb0		18
vtable_008c3d00	0x008c3d00		81
ZTLoadMode	0x008c3ef0		36
vtable_008c3f88	0x008c3f88		14
vtable_008c3fd4	0x008c3fd4		7
vtable_008c4010	0x008c4010		6
vtable_008c4030	0x008c4030		18
vtable_008c4080	0x008c4080		80
ZTLoadMode	0x008c41c0		4
ZTMainMode	0x008c47d8		36
vtable_008c4870	0x008c4870		14
vtable_008c48bc	0x008c48bc		7
vtable_008c48f8	0x008c48f8		6
vtable_008c4918	0x008c4918		18
vtable_008c4968	0x008c4968		113
ZTMainMode	0x008c4b34		5
BFStringVector	0x008c4b6c		13
ZTMode	0x008c4d58		36
vtable_008c4df0	0x008c4df0		14
vtable_008c4e3c	0x008c4e3c		7
vtable_008c4e78	0x008c4e78		6
vtable_008c4e98	0x008c4e98		18
vtable_008c4ee8	0x008c4ee8		78
ZTFeedbackClickTarget	0x008c5020		15
BFHeartbeatData	0x008c505c		13
ZTOverheadMode	0x008c5200		14
vtable_008c523c	0x008c523c		21
vtable_008c5298	0x008c5298		14
vtable_008c52e4	0x008c52e4		7
vtable_008c5304	0x008c5304		6
vtable_008c5320	0x008c5320		6
vtable_008c5340	0x008c5340		18
vtable_008c5390	0x008c5390		40
vtable_008c5434	0x008c5434		43
vtable_008c54e4	0x008c54e4		9
vtable_008c55bc	0x008c55bc		33
vtable_008c5648	0x008c5648		14
vtable_008c5694	0x008c5694		7
vtable_008c56d0	0x008c56d0		6
vtable_008c56f0	0x008c56f0		18
vtable_008c5740	0x008c5740		40
vtable_008c57e4	0x008c57e4		39
ZTPlacementMode	0x008c5968		36
vtable_008c5a00	0x008c5a00		14
vtable_008c5a4c	0x008c5a4c		7
vtable_008c5a88	0x008c5a88		6
vtable_008c5aa8	0x008c5aa8		18
vtable_008c5af8	0x008c5af8		101
ZTSaveMode	0x008c5d18		36
vtable_008c5db0	0x008c5db0		14
vtable_008c5dfc	0x008c5dfc		7
vtable_008c5e38	0x008c5e38		6
vtable_008c5e58	0x008c5e58		18
vtable_008c5ea8	0x008c5ea8		84
BFXMLObj	0x008c86c8		15
ZTSelectionMode	0x008c8708		36
vtable_008c87a0	0x008c87a0		14
vtable_008c87ec	0x008c87ec		7
vtable_008c8828	0x008c8828		6
vtable_008c8848	0x008c8848		18
vtable_008c8898	0x008c8898		110
vtable_008c8a60	0x008c8a60		5
BFIntEvent	0x008c8a80		31
BFTypeEvent	0x008c8b08		33
BFXMLObj	0x008c8b8c		13
vtable_008c8c4c	0x008c8c4c		5
vtable_008c8c68	0x008c8c68		34
vtable_008c8cf8	0x008c8cf8		14
vtable_008c8d44	0x008c8d44		7
vtable_008c8d80	0x008c8d80		6
vtable_008c8da0	0x008c8da0		18
vtable_008c8df0	0x008c8df0		116
ZTStaffAssignMode	0x008c91b0		9
ZTStaffAssignMode	0x008c91d4		27
vtable_008c9248	0x008c9248		14
vtable_008c9294	0x008c9294		7
vtable_008c92d0	0x008c92d0		6
vtable_008c92f0	0x008c92f0		18
vtable_008c9340	0x008c9340		89
ZTAIStaffAssignment	0x008c94a4		16
ZTTerrainCommandReader	0x008c96c8		36
vtable_008c9760	0x008c9760		14
vtable_008c97ac	0x008c97ac		7
vtable_008c97e8	0x008c97e8		6
vtable_008c9808	0x008c9808		18
vtable_008c9858	0x008c9858		87
ZTCloningGestureMode	0x008c9ef8		14
vtable_008c9f34	0x008c9f34		21
vtable_008c9f90	0x008c9f90		14
vtable_008c9fdc	0x008c9fdc		7
vtable_008ca018	0x008ca018		6
vtable_008ca038	0x008ca038		18
